timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629276080,-0.6894531,0.08105469,0.04296875,-18.71875,-2.75,-9.78125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276103,-0.71777344,0.08691406,-0.0107421875,-54.71875,16.25,-8.5625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276165,-0.8652344,-0.38671875,0.09082031,0.6875,-6.21875,-4.46875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276191,-1.1845703,-0.38964844,0.11035156,58.75,-3.96875,4.375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276223,-0.83984375,0.052734375,-0.056640625,33.0,-65.5625,-10.03125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276282,-1.4628906,0.13671875,0.40625,-33.0,-66.40625,-68.125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276312,-1.8183594,0.26757812,0.234375,-46.84375,-68.0,-118.125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276342,-1.6367188,0.359375,0.16894531,-69.1875,-17.21875,-102.75,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276404,-1.1435547,-0.072265625,0.25390625,-42.03125,5.875,-52.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276434,-0.87402344,-0.01953125,0.18359375,0.625,-29.34375,-23.34375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276491,-0.59277344,0.17675781,0.15429688,10.28125,-32.46875,0.15625,-118.375,6.8125,-164.875,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
1664629276523,-0.5878906,0.1484375,0.11621094,36.34375,-18.75,42.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1918275,,Thingy_s1918275_Descending stairs_01-10-2022_14-02-01
